origin_lat,origin_lng,dest_lat,dest_lng,distance_km,duration_minutes,traffic_factor,time_of_day,day_of_week,route_type,optimal_score
40.73729095126,-73.94931092642528,40.783188022128584,-73.98581911518876,5.956588409134406,4.746199852367737,1.0623978081344811,6,1,highway,1.0
40.776931035817185,-73.98464334658794,40.79618222666692,-74.02992208543124,4.379098173243969,5.6379720730760425,1.072894435115225,16,3,arterial,0.723943659098212
40.790658539404205,-73.9850619506152,40.80813703280111,-73.98038331245544,1.9807376327953288,2.969488386358321,1.2493192507310231,6,0,arterial,0.5339147142626453
40.808573178560785,-73.96409791663916,40.77052904233594,-73.95752953679752,4.261013870869297,9.941831473923136,1.1666039791481464,11,3,local,0.29390913491642995
40.760191472636755,-73.9864373497337,40.69958156710112,-74.00956683290643,7.008529376685654,9.595590014242662,1.1409419269139687,16,6,arterial,0.6401646291574958
40.80793066058697,-73.95691990905439,40.722319704998625,-73.97945965442625,9.69565134910033,8.774474954683885,1.2066543565084056,15,0,highway,0.9944852836501906
40.689849907365854,-74.031224205068,40.75965741855467,-73.97615046799926,9.041184314193815,11.822698055200526,1.0897077237842239,15,4,arterial,0.701776297179048
40.75169769243999,-73.95393755571358,40.744976236531535,-74.01159686912206,4.926454792760099,9.859582152248052,1.00067721789893,0,3,local,0.39945877553323395
40.79759696726926,-73.9514572542301,40.69824143120108,-74.02623512898329,12.712916458398514,12.197948541438144,1.279323390648082,14,5,highway,0.9379958255841017
40.76917913709516,-74.03904946788015,40.69583593299805,-73.99279852470637,9.033297511272433,13.603842106077824,1.2549719605992826,14,2,arterial,0.5291157737186668
40.773969343170556,-74.0188708548867,40.81180470203715,-73.97138008973864,5.806773686569975,4.87338618448859,1.1190117949685456,4,5,highway,1.0
40.8100840814469,-74.00786115646005,40.81261686839499,-73.95401513842916,4.551935101321774,3.5086697680294323,1.0277445203500661,11,4,highway,1.0
40.8134373428152,-73.99107531570716,40.74357366899236,-73.98894444657513,7.760420071594999,5.93377817620907,1.0194943265898921,2,0,highway,1.0
40.69059155445007,-73.95401188904532,40.70092120929934,-74.01478717578188,5.263299314037087,9.949553061166071,1.5753035734687781,13,6,arterial,0.33580738097060725
40.73416802287632,-73.97446161001803,40.75104604125459,-74.00870268690431,3.446294127209935,4.546997717151933,1.099489661772115,6,2,arterial,0.6893447202606128
40.69477266057549,-73.95201448665581,40.80721445784178,-74.02166491957951,13.802632517084357,15.117481342482243,1.4603476376718154,18,3,highway,0.7502525457260125
40.699181127386304,-73.94685525844501,40.81582945959118,-73.97550063025615,13.177616041632424,29.618300948627212,1.123811046514531,16,0,local,0.31671847524927027
40.80023035311115,-73.96360216535321,40.817563749249935,-73.94454875999543,2.507946841234404,5.671452049532509,1.1306962245541532,20,6,local,0.3128730149762567
40.727457993577985,-73.99360244397724,40.77877721629976,-73.96530587686262,6.179665952232324,8.313317830373384,1.7936930344636306,9,0,highway,0.4973060462324297
40.804017496555836,-74.03454879109633,40.73158477750902,-74.01455186730267,8.218890617023588,12.576025872207449,1.275113886838433,14,0,arterial,0.5125317841403967
40.804144557959035,-73.9948390492526,40.757523371508064,-74.03678626242406,6.272326266018349,4.32390251577978,0.9191491497512247,5,2,highway,1.0
